"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[progenitor cell type]"	"Sample Characteristic Ontology Term[progenitor cell type]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[growth condition]"	"Sample Characteristic Ontology Term[growth condition]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"	"Factor Value[individual]"	"Factor Value Ontology Term[individual]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"	"Factor Value[cell line]"	"Factor Value Ontology Term[cell line]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2967274"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H12_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967275"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H3_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967276"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H4_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967277"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H7_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967278"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H8_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967279"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A10_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967280"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A1_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967281"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A2_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967282"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A3_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967283"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A4_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967284"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A5_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967285"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A6_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967286"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A7_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967287"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_A8_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967288"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B10_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967289"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B11_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967290"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B1_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967291"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B3_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967292"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B4_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967293"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B5_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967294"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B6_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967295"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B8_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967296"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_B9_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967297"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C10_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967298"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C12_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967299"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C1_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967300"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C2_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967301"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C3_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967302"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C5_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967303"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C6_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967304"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C7_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967305"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C8_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967306"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_C9_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967307"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 4"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg4_D10_hOrg41d"		"41 day"		"iPSC organoid 4"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
